================ Training Loss (Sun Jan  8 16:54:37 2023) ================
(epoch: 32, iters: 200, time: 0.022, data: 0.001) G_GAN: 2.520 G_L1: 22.713 D_real: 0.005 D_fake: 2.163 
(epoch: 32, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.206 G_L1: 25.926 D_real: 1.490 D_fake: 0.210 
(epoch: 32, iters: 400, time: 0.089, data: 0.001) G_GAN: 2.333 G_L1: 29.990 D_real: 0.046 D_fake: 0.357 
(epoch: 33, iters: 100, time: 0.023, data: 0.190) G_GAN: 1.830 G_L1: 23.857 D_real: 0.679 D_fake: 0.452 
(epoch: 33, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.827 G_L1: 26.966 D_real: 0.747 D_fake: 0.033 
(epoch: 33, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.347 G_L1: 43.173 D_real: 0.008 D_fake: 0.048 
(epoch: 33, iters: 400, time: 0.092, data: 0.001) G_GAN: 2.686 G_L1: 33.907 D_real: 0.006 D_fake: 0.478 
(epoch: 34, iters: 100, time: 0.024, data: 0.182) G_GAN: 1.429 G_L1: 22.804 D_real: 0.793 D_fake: 0.133 
(epoch: 34, iters: 200, time: 0.023, data: 0.001) G_GAN: 1.781 G_L1: 18.375 D_real: 0.523 D_fake: 0.193 
(epoch: 34, iters: 300, time: 0.025, data: 0.001) G_GAN: 2.747 G_L1: 51.834 D_real: 0.041 D_fake: 0.836 
(epoch: 34, iters: 400, time: 0.094, data: 0.001) G_GAN: 2.541 G_L1: 30.691 D_real: 0.049 D_fake: 0.210 
(epoch: 35, iters: 100, time: 0.023, data: 0.195) G_GAN: 4.017 G_L1: 36.520 D_real: 0.105 D_fake: 0.018 
(epoch: 35, iters: 200, time: 0.024, data: 0.001) G_GAN: 1.597 G_L1: 26.765 D_real: 0.119 D_fake: 0.381 
(epoch: 35, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.338 G_L1: 25.061 D_real: 0.078 D_fake: 0.075 
(epoch: 35, iters: 400, time: 0.091, data: 0.001) G_GAN: 3.070 G_L1: 27.666 D_real: 0.643 D_fake: 0.205 
(epoch: 36, iters: 100, time: 0.023, data: 0.176) G_GAN: 3.094 G_L1: 31.289 D_real: 0.003 D_fake: 1.056 
(epoch: 36, iters: 200, time: 0.023, data: 0.001) G_GAN: 3.720 G_L1: 27.969 D_real: 0.087 D_fake: 0.084 
(epoch: 36, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.703 G_L1: 34.257 D_real: 0.065 D_fake: 0.036 
(epoch: 36, iters: 400, time: 0.176, data: 0.001) G_GAN: 3.499 G_L1: 26.748 D_real: 0.268 D_fake: 0.032 
(epoch: 37, iters: 100, time: 0.028, data: 0.233) G_GAN: 2.322 G_L1: 37.904 D_real: 0.003 D_fake: 0.218 
(epoch: 37, iters: 200, time: 0.033, data: 0.013) G_GAN: 2.631 G_L1: 22.911 D_real: 0.509 D_fake: 0.074 
(epoch: 37, iters: 300, time: 0.029, data: 0.013) G_GAN: 1.997 G_L1: 29.502 D_real: 0.312 D_fake: 0.204 
(epoch: 37, iters: 400, time: 0.150, data: 0.002) G_GAN: 1.373 G_L1: 25.827 D_real: 0.731 D_fake: 0.495 
(epoch: 38, iters: 100, time: 0.026, data: 0.286) G_GAN: 3.515 G_L1: 28.479 D_real: 0.017 D_fake: 0.414 
(epoch: 38, iters: 200, time: 0.028, data: 0.002) G_GAN: 3.167 G_L1: 21.486 D_real: 0.258 D_fake: 1.331 
(epoch: 38, iters: 300, time: 0.027, data: 0.002) G_GAN: 3.235 G_L1: 34.040 D_real: 0.004 D_fake: 0.138 
(epoch: 38, iters: 400, time: 0.151, data: 0.002) G_GAN: 3.993 G_L1: 32.406 D_real: 0.081 D_fake: 0.032 
(epoch: 39, iters: 100, time: 0.032, data: 0.280) G_GAN: 3.453 G_L1: 34.772 D_real: 0.590 D_fake: 0.034 
(epoch: 39, iters: 200, time: 0.028, data: 0.005) G_GAN: 3.702 G_L1: 27.508 D_real: 0.498 D_fake: 0.031 
(epoch: 39, iters: 300, time: 0.030, data: 0.002) G_GAN: 3.249 G_L1: 20.537 D_real: 0.828 D_fake: 0.026 
(epoch: 39, iters: 400, time: 0.151, data: 0.003) G_GAN: 2.158 G_L1: 26.296 D_real: 0.145 D_fake: 0.879 
(epoch: 40, iters: 100, time: 0.028, data: 0.277) G_GAN: 1.472 G_L1: 23.431 D_real: 0.688 D_fake: 0.283 
(epoch: 40, iters: 200, time: 0.027, data: 0.006) G_GAN: 1.754 G_L1: 24.352 D_real: 0.117 D_fake: 0.674 
(epoch: 40, iters: 300, time: 0.027, data: 0.003) G_GAN: 3.623 G_L1: 31.002 D_real: 0.307 D_fake: 0.033 
(epoch: 40, iters: 400, time: 0.151, data: 0.006) G_GAN: 2.625 G_L1: 35.307 D_real: 0.052 D_fake: 0.242 
(epoch: 41, iters: 100, time: 0.027, data: 0.302) G_GAN: 3.082 G_L1: 32.501 D_real: 0.040 D_fake: 0.108 
(epoch: 41, iters: 200, time: 0.025, data: 0.001) G_GAN: 2.377 G_L1: 27.560 D_real: 0.225 D_fake: 0.177 
(epoch: 41, iters: 300, time: 0.026, data: 0.004) G_GAN: 3.518 G_L1: 28.148 D_real: 0.514 D_fake: 0.020 
(epoch: 41, iters: 400, time: 0.149, data: 0.002) G_GAN: 2.965 G_L1: 26.026 D_real: 0.431 D_fake: 0.096 
(epoch: 42, iters: 100, time: 0.029, data: 0.313) G_GAN: 2.716 G_L1: 26.324 D_real: 0.022 D_fake: 0.195 
(epoch: 42, iters: 200, time: 0.027, data: 0.002) G_GAN: 3.552 G_L1: 37.933 D_real: 0.031 D_fake: 0.129 
(epoch: 42, iters: 300, time: 0.030, data: 0.002) G_GAN: 1.097 G_L1: 32.163 D_real: 1.149 D_fake: 0.246 
(epoch: 42, iters: 400, time: 0.150, data: 0.002) G_GAN: 2.540 G_L1: 35.185 D_real: 0.060 D_fake: 0.090 
(epoch: 43, iters: 100, time: 0.025, data: 0.311) G_GAN: 2.164 G_L1: 21.796 D_real: 0.346 D_fake: 0.095 
(epoch: 43, iters: 200, time: 0.026, data: 0.002) G_GAN: 1.659 G_L1: 28.751 D_real: 0.861 D_fake: 0.158 
(epoch: 43, iters: 300, time: 0.026, data: 0.002) G_GAN: 2.067 G_L1: 36.231 D_real: 0.156 D_fake: 0.238 
(epoch: 43, iters: 400, time: 0.147, data: 0.006) G_GAN: 2.581 G_L1: 19.464 D_real: 0.065 D_fake: 0.362 
(epoch: 44, iters: 100, time: 0.028, data: 0.330) G_GAN: 2.689 G_L1: 29.438 D_real: 0.035 D_fake: 0.317 
(epoch: 44, iters: 200, time: 0.029, data: 0.002) G_GAN: 3.711 G_L1: 22.561 D_real: 0.008 D_fake: 1.742 
(epoch: 44, iters: 300, time: 0.027, data: 0.006) G_GAN: 3.032 G_L1: 33.416 D_real: 0.095 D_fake: 0.215 
(epoch: 44, iters: 400, time: 0.166, data: 0.004) G_GAN: 2.693 G_L1: 31.184 D_real: 0.229 D_fake: 0.094 
(epoch: 45, iters: 100, time: 0.028, data: 0.298) G_GAN: 2.299 G_L1: 34.643 D_real: 0.016 D_fake: 0.296 
(epoch: 45, iters: 200, time: 0.027, data: 0.002) G_GAN: 5.155 G_L1: 43.743 D_real: 0.002 D_fake: 0.015 
(epoch: 45, iters: 300, time: 0.030, data: 0.006) G_GAN: 1.505 G_L1: 19.331 D_real: 0.400 D_fake: 0.148 
(epoch: 45, iters: 400, time: 0.159, data: 0.002) G_GAN: 1.596 G_L1: 28.461 D_real: 0.796 D_fake: 0.075 
(epoch: 46, iters: 100, time: 0.028, data: 0.291) G_GAN: 2.712 G_L1: 40.253 D_real: 0.001 D_fake: 0.416 
(epoch: 46, iters: 200, time: 0.028, data: 0.005) G_GAN: 3.269 G_L1: 26.944 D_real: 0.077 D_fake: 0.032 
(epoch: 46, iters: 300, time: 0.026, data: 0.004) G_GAN: 2.006 G_L1: 24.526 D_real: 0.355 D_fake: 1.049 
(epoch: 46, iters: 400, time: 0.314, data: 0.002) G_GAN: 2.721 G_L1: 27.740 D_real: 0.064 D_fake: 0.210 
(epoch: 47, iters: 100, time: 0.027, data: 0.333) G_GAN: 2.992 G_L1: 37.607 D_real: 0.013 D_fake: 0.125 
(epoch: 47, iters: 200, time: 0.031, data: 0.002) G_GAN: 0.971 G_L1: 22.876 D_real: 0.918 D_fake: 0.250 
(epoch: 47, iters: 300, time: 0.032, data: 0.002) G_GAN: 0.904 G_L1: 27.561 D_real: 0.850 D_fake: 0.216 
(epoch: 47, iters: 400, time: 0.167, data: 0.002) G_GAN: 2.059 G_L1: 24.586 D_real: 0.383 D_fake: 0.159 
(epoch: 48, iters: 100, time: 0.028, data: 0.317) G_GAN: 1.033 G_L1: 21.328 D_real: 1.077 D_fake: 0.363 
(epoch: 48, iters: 200, time: 0.026, data: 0.002) G_GAN: 1.006 G_L1: 34.841 D_real: 0.900 D_fake: 0.139 
(epoch: 48, iters: 300, time: 0.027, data: 0.002) G_GAN: 2.462 G_L1: 24.638 D_real: 0.491 D_fake: 0.035 
(epoch: 48, iters: 400, time: 0.107, data: 0.001) G_GAN: 3.789 G_L1: 35.137 D_real: 0.499 D_fake: 0.018 
(epoch: 49, iters: 100, time: 0.024, data: 0.200) G_GAN: 2.851 G_L1: 24.621 D_real: 0.163 D_fake: 0.145 
(epoch: 49, iters: 200, time: 0.024, data: 0.001) G_GAN: 0.806 G_L1: 26.595 D_real: 1.284 D_fake: 0.215 
(epoch: 49, iters: 300, time: 0.025, data: 0.001) G_GAN: 1.889 G_L1: 23.883 D_real: 0.214 D_fake: 0.497 
(epoch: 49, iters: 400, time: 0.130, data: 0.001) G_GAN: 2.853 G_L1: 23.518 D_real: 0.001 D_fake: 0.126 
